City,Total,Average Salary,lat,long
BUFFALO,847,86797,42.929303,-78.832706
BEAVERTON,833,83856,45.496289,-122.800146
ROCHESTER,827,74875,43.286024,-77.684264
QUINCY,823,78436,42.241799,-71.006042
SOUTH SAN FRANCISCO,812,109936,37.657443,-122.423483
PASADENA,800,79144,33.786594,-118.298662
ROUND ROCK,797,90927,30.530497,-97.635103
ADDISON,782,79679,32.767268,-96.777626
NORCROSS,766,67638,33.960353,-84.037859
EXTON,764,70426,40.049852,-75.637035
GAITHERSBURG,763,74510,39.139336,-77.182953
SHREWSBURY,751,71659,42.286992,-71.715313
BRONX,750,82487,40.819329,-73.920355
VIENNA,745,88921,38.897361,-77.253749
WORCESTER,739,76790,42.265275,-71.879415
FOLSOM,720,89752,38.594181,-121.310796
ISSAQUAH,715,91767,47.497419,-122.010699
BURLINGTON,713,95529,42.504844,-71.201539
COPPELL,703,84728,32.767268,-96.777626
DEERFIELD,698,83647,42.178175,-87.866818
SAINT LOUIS,693,75458,38.631501,-90.19231
OAKLAND,684,94815,37.786027,-122.223779
PENNINGTON,676,88759,40.32863,-74.813557
GREENVILLE,674,74584,34.848567,-82.402871
WESTBOROUGH,667,84492,42.364807,-71.896868
CHANTILLY,666,77440,38.88668,-77.44566
COLUMBIA,666,80764,39.206132,-76.887905
NATICK,665,90462,42.446396,-71.459405
BOISE,659,80667,43.603768,-116.272921
GLENDALE,656,85098,33.786594,-118.298662
LAKE MARY,647,94481,28.7577,-81.350772
FAIRFAX,638,75204,38.853231,-77.305097
RICHFIELD,635,76195,40.478716,-77.345514
FARMERSVILLE,630,65881,33.218463,-96.379009
MONTVALE,626,89182,41.054651,-74.045425
OWINGS MILLS,625,80564,39.429055,-76.787696
WINDSOR,625,81908,41.879637,-72.734271
NORWALK,622,91068,41.126146,-73.442423
COSTA MESA,621,91844,33.6829,-117.778398
BIRMINGHAM,616,80321,33.456412,-86.801904
NEWARK,613,84564,39.614737,-75.701277
HOBOKEN,610,84694,40.746851,-74.033934
MASON,610,81473,39.397999,-84.180906
NEWARK,605,90963,37.534102,-122.025352
WESTERVILLE,603,73710,40.10447,-82.896457
CARROLLTON,592,70484,32.767268,-96.777626
HARRISBURG,590,76562,40.264589,-76.869644
BOULDER,583,86797,40.094787,-105.278083
FORT LAUDERDALE,582,84506,26.085115,-80.159317
MELVILLE,582,83671,40.787248,-73.405573
COLUMBIA,579,76948,33.987454,-81.024864
NEW BRUNSWICK,579,74966,40.486754,-74.444395
LITTLE ROCK,575,89132,34.755998,-92.284832
NORFOLK,567,76500,36.895911,-76.208521
FRANKLIN,565,74659,35.890746,-86.965691
GREENSBORO,564,78819,36.055285,-79.831692
OKLAHOMA CITY,564,80773,35.491608,-97.562817
BERKELEY,556,86999,37.860576,-122.29673
GLASTONBURY,553,69199,41.703451,-72.539332
MARLBOROUGH,549,89922,42.446396,-71.459405
SUGAR LAND,545,83176,29.525461,-95.756462
WARREN,542,82029,42.474786,-82.995121
GRAND RAPIDS,540,81644,42.984226,-85.629101
SAN BRUNO,524,118361,37.623159,-122.436034
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
